car_ID,CarBrand,CarHonda,CarNissan,CarSubaru,CarToyota,CarVolvo,fueltype,aspiration,aspirationDV,doornumber,carbody,cb_hatchback,cb_sedan,cb_wagon,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,PriceDV,Validation Column,price
1,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,0,Validation,6479
2,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,0,Validation,6855
3,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,93.7,150,64,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,0,Training,5399
4,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,93.7,150,64,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,0,Validation,6529
5,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,93.7,150,64,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,0,Validation,7129
6,Honda,1,0,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,0,Validation,7295
7,Honda,1,0,0,0,0,gas,std,1,four,wagon,0,0,1,fwd,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,0,Validation,7295
8,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,0,Training,7895
9,Honda,1,0,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,0,Validation,9095
10,Honda,1,0,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,0,Validation,8845
